player_name,team,position,overall,pace,shooting,passing,dribbling,defending,physical,gk,minutes_projection,is_key_player,data_source
Unai Simon,Spain,GK,86,0,0,0,0,0,0,86,90,true,curated_eafc_style
Rodri,Spain,MF,90,66,80,86,84,87,85,0,90,true,curated_eafc_style
Lamine Yamal,Spain,FW,85,88,80,82,89,32,58,0,82,true,curated_eafc_style
Emiliano Martinez,Argentina,GK,87,0,0,0,0,0,0,87,90,true,curated_eafc_style
Lionel Messi,Argentina,FW,88,79,87,90,91,34,64,0,82,true,curated_eafc_style
Lautaro Martinez,Argentina,FW,89,82,88,75,84,45,84,0,85,true,curated_eafc_style
Mike Maignan,France,GK,87,0,0,0,0,0,0,87,90,true,curated_eafc_style
Kylian Mbappe,France,FW,91,97,90,82,92,37,78,0,90,true,curated_eafc_style
Aurelien Tchouameni,France,MF,85,70,70,81,80,84,84,0,85,true,curated_eafc_style
Jordan Pickford,England,GK,84,0,0,0,0,0,0,84,90,true,curated_eafc_style
Jude Bellingham,England,MF,90,80,86,84,88,78,83,0,90,true,curated_eafc_style
Harry Kane,England,FW,90,69,92,84,83,49,83,0,90,true,curated_eafc_style
Alisson,Brazil,GK,89,0,0,0,0,0,0,89,90,true,curated_eafc_style
Vinicius Junior,Brazil,FW,90,95,84,81,91,32,67,0,90,true,curated_eafc_style
Rodrygo,Brazil,FW,86,88,84,82,87,34,63,0,85,true,curated_eafc_style
Diogo Costa,Portugal,GK,84,0,0,0,0,0,0,84,90,true,curated_eafc_style
Bruno Fernandes,Portugal,MF,88,70,86,90,84,70,77,0,90,true,curated_eafc_style
Cristiano Ronaldo,Portugal,FW,86,77,88,76,82,34,75,0,70,true,curated_eafc_style
Bart Verbruggen,Netherlands,GK,81,0,0,0,0,0,0,81,90,true,curated_eafc_style
Virgil van Dijk,Netherlands,DF,90,78,60,72,72,90,86,0,90,true,curated_eafc_style
Cody Gakpo,Netherlands,FW,84,83,82,79,84,45,76,0,85,true,curated_eafc_style
Thibaut Courtois,Belgium,GK,89,0,0,0,0,0,0,89,90,true,curated_eafc_style
Kevin De Bruyne,Belgium,MF,90,68,88,92,87,64,78,0,85,true,curated_eafc_style
Jeremy Doku,Belgium,FW,83,92,76,77,88,30,63,0,78,true,curated_eafc_style
Manuel Neuer,Germany,GK,86,0,0,0,0,0,0,86,90,true,curated_eafc_style
Florian Wirtz,Germany,MF,88,82,82,88,90,52,68,0,88,true,curated_eafc_style
Jamal Musiala,Germany,FW,88,86,82,83,91,45,66,0,88,true,curated_eafc_style
Dominik Livakovic,Croatia,GK,82,0,0,0,0,0,0,82,90,true,curated_eafc_style
Luka Modric,Croatia,MF,86,72,76,89,88,72,66,0,75,true,curated_eafc_style
Josko Gvardiol,Croatia,DF,85,82,58,75,76,86,82,0,90,true,curated_eafc_style
Yassine Bounou,Morocco,GK,84,0,0,0,0,0,0,84,90,true,curated_eafc_style
Achraf Hakimi,Morocco,DF,84,91,72,79,82,78,78,0,90,true,curated_eafc_style
Hakim Ziyech,Morocco,FW,81,75,80,84,83,50,62,0,75,true,curated_eafc_style
David Ospina,Colombia,GK,78,0,0,0,0,0,0,78,90,true,curated_eafc_style
Luis Diaz,Colombia,FW,86,90,82,78,88,45,72,0,90,true,curated_eafc_style
James Rodriguez,Colombia,MF,82,55,82,88,83,50,62,0,70,true,curated_eafc_style
Matt Turner,United States,GK,78,0,0,0,0,0,0,78,90,true,curated_eafc_style
Christian Pulisic,United States,FW,84,86,82,79,86,38,63,0,88,true,curated_eafc_style
Weston McKennie,United States,MF,80,75,74,78,80,78,82,0,85,true,curated_eafc_style
Orjan Nyland,Norway,GK,76,0,0,0,0,0,0,76,90,true,curated_eafc_style
Martin Odegaard,Norway,MF,89,72,82,90,88,63,67,0,90,true,curated_eafc_style
Erling Haaland,Norway,FW,91,88,93,70,80,45,88,0,90,true,curated_eafc_style
Guillermo Ochoa,Mexico,GK,78,0,0,0,0,0,0,78,90,true,curated_eafc_style
Edson Alvarez,Mexico,MF,81,62,62,73,72,84,84,0,90,true,curated_eafc_style
Santiago Gimenez,Mexico,FW,81,78,82,70,78,40,80,0,85,true,curated_eafc_style
Sergio Rochet,Uruguay,GK,79,0,0,0,0,0,0,79,90,true,curated_eafc_style
Federico Valverde,Uruguay,MF,88,88,82,85,84,82,84,0,90,true,curated_eafc_style
Darwin Nunez,Uruguay,FW,84,88,83,73,80,45,86,0,85,true,curated_eafc_style
Gregor Kobel,Switzerland,GK,87,0,0,0,0,0,0,87,90,true,curated_eafc_style
Granit Xhaka,Switzerland,MF,84,55,76,86,78,78,80,0,90,true,curated_eafc_style
Manuel Akanji,Switzerland,DF,84,78,50,72,75,85,82,0,90,true,curated_eafc_style
Zion Suzuki,Japan,GK,76,0,0,0,0,0,0,76,90,true,curated_eafc_style
Takefusa Kubo,Japan,FW,84,83,80,82,87,42,60,0,86,true,curated_eafc_style
Kaoru Mitoma,Japan,FW,83,86,78,78,88,42,62,0,80,true,curated_eafc_style
Edouard Mendy,Senegal,GK,82,0,0,0,0,0,0,82,90,true,curated_eafc_style
Kalidou Koulibaly,Senegal,DF,83,70,34,65,62,84,84,0,90,true,curated_eafc_style
Sadio Mane,Senegal,FW,84,84,82,78,85,45,72,0,90,true,curated_eafc_style
